model,criterion,sparsity,overall_acc,balanced_acc,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,nonzero_params,size_kb,timestamp,dense_overall_acc,dense_balanced_acc,dense_mel_sensitivity,melanoma_sensitivity_drop,balanced_accuracy_drop
deit_tiny,random,0.7,0.055416874687968,0.1437093853201236,0.0,1.0,0.0,0.005965697240865,0.0,0.0,0.0,1592525,7069.828125,2026-04-19T03:25:39+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.757847533632287,0.6967645620848841
deit_small,magnitude,0.2,0.8886669995007489,0.8630122705212859,0.7399103139013453,0.9029126213592232,0.7384615384615385,0.929903057419836,0.8090909090909091,0.9565217391304348,0.9642857142857144,16986931,68053.2265625,2026-04-19T03:27:14+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.013452914798206206,-0.0005690273183578398
deit_small,magnitude,0.4,0.8786819770344483,0.840129597856462,0.7130044843049327,0.8640776699029126,0.7846153846153846,0.9321401938851605,0.7454545454545455,0.9130434782608696,0.9285714285714286,12740198,51464.42578125,2026-04-19T03:28:04+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.04035874439461884,0.02231364534646607
deit_small,magnitude,0.5,0.8662006989515726,0.8133089231725933,0.6367713004484304,0.8349514563106796,0.8153846153846154,0.935868754660701,0.7,0.9130434782608696,0.8571428571428571,10616832,43170.02734375,2026-04-19T03:28:53+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.11659192825112108,0.0491343200303348
deit_small,magnitude,0.6,0.8337493759360959,0.7077716218107802,0.5381165919282511,0.6893203883495146,0.8307692307692308,0.9336316181953764,0.6318181818181818,0.6521739130434783,0.6785714285714286,8493466,34875.62890625,2026-04-19T03:29:43+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.2152466367713004,0.15467162139214785
deit_small,magnitude,0.7,0.745381927109336,0.5338433688519599,0.2242152466367713,0.5145631067961165,0.8307692307692308,0.8948545861297539,0.5318181818181819,0.3478260869565217,0.3928571428571428,6370099,26581.2265625,2026-04-19T03:30:34+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.5291479820627802,0.32859987435096816
deit_small,wanda,0.2,0.8861707438841737,0.85157154949436,0.7354260089686099,0.883495145631068,0.7538461538461538,0.9336316181953764,0.7772727272727272,0.9130434782608696,0.9642857142857144,16986931,68053.2265625,2026-04-19T03:31:23+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.017937219730941645,0.010871693708568109
deit_small,wanda,0.4,0.854218671992012,0.7947165718708431,0.6098654708520179,0.7475728155339806,0.7384615384615385,0.9463087248322148,0.6,0.9565217391304348,0.9642857142857144,12740198,51464.42578125,2026-04-19T03:32:13+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.1434977578475336,0.06772667133208499
deit_small,wanda,0.5,0.8152770843734398,0.6846287368903751,0.4439461883408072,0.4466019417475728,0.6461538461538462,0.9582401193139448,0.5272727272727272,0.9130434782608696,0.8571428571428571,10616832,43170.02734375,2026-04-19T03:33:03+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.30941704035874434,0.17781450631255302
deit_small,wanda,0.6,0.7254118821767349,0.5173259484863354,0.2600896860986547,0.2718446601941747,0.4615384615384615,0.8970917225950783,0.4636363636363636,0.6956521739130435,0.5714285714285714,8493466,34875.62890625,2026-04-19T03:33:53+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.49327354260089684,0.3451172947165927
deit_small,wanda,0.7,0.5656515227159261,0.3210684007377282,0.0313901345291479,0.058252427184466,0.5384615384615384,0.7188665175242357,0.5045454545454545,0.217391304347826,0.1785714285714285,6370099,26581.2265625,2026-04-19T03:34:44+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.7219730941704037,0.5413748424651998
